tournament,source,team,team_slug,player_id,squad_number,position,first_name,last_name,full_name,shirt_name,birth_date,club,height_cm,head_coach,is_final_26,is_official_fifa,observation_only,betting_recommendation,affects_v4
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_18_hosseinzadeh_amirhossein,18,FW,Amirhossein,HOSSEINZADEHTAZEHGHESHLAGH,HOSSEINZADEH Amirhossein,AMIRHOSSEIN,2000-10-30,Tractor Sazi Tabriz FC (IRN),178,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_19_nemati_ali,19,DF,Ali,NEMATI,NEMATI Ali,ALI,1996-02-08,Foolad Khuzestan FC (IRN),182,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_20_moghanloo_shahriyar,20,FW,Shahriyar,MOGHANLOO,MOGHANLOO Shahriyar,SHAHRIYAR,1994-12-21,Al Ittihad Kalba SCC (UAE),189,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_21_ghorbani_mohammad,21,MF,Mohammad,GHORBANI,GHORBANI Mohammad,MOHAMMAD,2001-10-07,Al Wahda SC (UAE),190,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_22_hosseini_hossein,22,GK,Seyedhossein,HOSSEINI,HOSSEINI Hossein,HOSSEINI,1992-06-30,Sepahan SC (IRN),189,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_23_rezaeian_ramin,23,DF,Ramin,REZAEIANSEMESKANDI,REZAEIAN Ramin,RAMIN,1990-03-21,Foolad Khuzestan FC (IRN),184,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_24_dargahi_dennis,24,FW,Dennis,DARGAHI,DARGAHI Dennis,DARGAHI,1997-01-09,Standard Liège (BEL),182,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_25_iri_danial,25,DF,Danial,IRI,IRI Danial,DANIAL,2003-10-26,Malavan Anzali FC (IRN),182,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,IR Iran,ir_iran,wc2026_ir_iran_26_razaghinia_amirmohammad,26,MF,Amirmohammad,RAZAGHINIA,RAZAGHINIA Amirmohammad,RAZAGH,2006-04-11,Esteghlal Tehran FC (IRN),187,GHALEHNOY Amir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_01_fahad_talib,1,GK,Fahad Talib Raheem,RAHEEM,FAHAD TALIB,FAHAD,1994-10-21,Al Talaba SC (IRQ),192,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_02_rebin_ghareeb,2,DF,Rebin Ghareeb Solaka,ADHAMAT,REBIN GHAREEB,REBIN,1992-04-12,Port FC (THA),193,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_03_hussein_ali,3,DF,Hussein Haydar Hussein,ALI,HUSSEIN ALI,HUSSEIN,2002-03-01,Pogoń Szczecin (POL),182,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_04_zaid_tahseen,4,DF,Zaid Tahseen Abd Zaid,HANTOOSH,ZAID TAHSEEN,ZAID T.,2001-01-29,Pakhtakor Tashkent FK (UZB),187,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_05_akam_hashim,5,DF,Akam Hashim Rahman,RAHMAN,AKAM HASHIM,AKAM,1998-08-16,Al Zawra'a SC (IRQ),184,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_06_munaf_younus,6,DF,Munaf Younus Hashim,AL-TEKREETI,MUNAF YOUNUS,MUNAF,1996-11-16,Al Shorta SC (IRQ),184,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_07_youssef_amyn,7,MF,Youssef Wali Faeq,AMYN,YOUSSEF AMYN,YOUSSEF,2003-08-21,AEK Larnaca FC (CYP),172,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_08_ibrahim_bayesh,8,MF,Ibrahim Bayesh Kamil,AL-KAABAWI,IBRAHIM BAYESH,IBRAHIM,2000-05-01,Al Dhafra SCC (UAE),180,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_09_ali_alhamadi,9,FW,Ali Ibrahim Karim,ALZUBAIDI,ALI ALHAMADI,AL-HAMADI,2002-03-01,Luton Town FC (ENG),187,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_10_mohanad_ali,10,FW,Mohanad Ali Kadhim,AL-SHAMMARI,MOHANAD ALI,MOHANAD,2000-06-20,Dibba FC (UAE),183,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_11_ahmed_qasim,11,FW,Ahmed Ihab Ahmed,AHMED,AHMED QASIM,AHMED Q.,2003-07-12,Nashville SC (USA),183,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_12_jalal_hassan,12,GK,Jalal Hasan Hachim,HACHIM,JALAL HASSAN,JALAL,1991-05-18,Al Zawra'a SC (IRQ),188,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_13_ali_yousif,13,FW,Ali Yousif Hashim,NAJATEE,ALI YOUSIF,ALI Y.,1996-01-19,Al Talaba SC (IRQ),180,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_14_zidane_iqbal,14,MF,Zidane Aamar Iqbal,IQBAL,ZIDANE IQBAL,Z.IQBAL,2003-04-27,FC Utrecht (NED),183,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_15_ahmed_yahya,15,DF,Ahmed Yahya Mhmood,AL-HAJJAJ,AHMED YAHYA,AHMED,1995-07-01,Al Shorta SC (IRQ),187,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_16_amir_alammari,16,MF,Amir Fouad Aboud,AL-AMMARI,AMIR ALAMMARI,AL-AMMARI,1997-07-27,KS Cracovia (POL),180,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_17_ali_jasim,17,FW,Ali Jasim Elaibi,AL-TAMEEMI,ALI JASIM,ALI J.,2004-01-20,Al Najmah SC (KSA),178,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_18_aymen_hussein,18,FW,Aymen Hussein Ghadhban,GHADHBAN,AYMEN HUSSEIN,AYMEN,1996-03-22,Al Karma SC (IRQ),190,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_19_kevin_yakob,19,MF,Kevin Enkido Yakob William,WILLIAM,KEVIN YAKOB,K. YAKOB,2000-10-10,Aarhus GF (DEN),180,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_20_aimar_sher,20,MF,Aimar Hazar Anwar,SHER,AIMAR SHER,AIMAR,2002-12-20,Sarpsborg 08 FF (NOR),180,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_21_marko_farji,21,FW,Marko Jabbar Hussein,HUSSEIN,MARKO FARJI,MARKO,2004-03-16,Venezia FC (ITA),185,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_22_ahmed_basil,22,GK,Ahmed Basil Fadhil,AL-FADHLI,AHMED BASIL,AHMED B.,1996-08-19,Al Shorta SC (IRQ),184,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_23_merchas_doski,23,DF,Merchas Ghazi Salih,SALIH,MERCHAS DOSKI,DOSKI,1999-12-07,FC Viktoria Plzeň (CZE),173,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_24_zaid_ismael,24,MF,Zaid Ismael Khaleel,AL-DULAIMI,ZAID ISMAEL,ZAID I.,2002-01-03,Al Talaba SC (IRQ),185,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_25_mustafa_saadoon,25,DF,Mustafa Saadoon Abbood,AL KORJI,MUSTAFA SAADOON,MUSTAFA,2001-05-25,Al Shorta SC (IRQ),181,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Iraq,iraq,wc2026_iraq_26_frans_putros,26,DF,Frans Dhia Jirjis,HADDAD,FRANS PUTROS,FRANS,1993-07-14,Persib Bandung (IDN),182,ARNOLD Graham,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_01_suzuki_zion,1,GK,Zion,SUZUKI,SUZUKI Zion,SUZUKI,2002-08-21,Parma (ITA),190,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_02_sugawara_yukinari,2,DF,Yukinari,SUGAWARA,SUGAWARA Yukinari,SUGAWARA,2000-06-28,SV Werder Bremen (GER),179,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_03_taniguchi_shogo,3,DF,Shogo,TANIGUCHI,TANIGUCHI Shogo,TANIGUCHI,1991-07-15,Sint-Truiden VV (BEL),185,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_04_itakura_kou,4,DF,Kou,ITAKURA,ITAKURA Kou,ITAKURA,1997-01-27,AFC Ajax (NED),188,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_05_nagatomo_yuto,5,DF,Yuto,NAGATOMO,NAGATOMO Yuto,NAGATOMO,1986-09-12,FC Tokyo (JPN),170,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_06_endo_wataru,6,MF,Wataru,ENDO,ENDO Wataru,ENDO,1993-02-09,Liverpool FC (ENG),178,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_07_tanaka_ao,7,MF,Ao,TANAKA,TANAKA Ao,TANAKA,1998-09-10,Leeds United FC (ENG),180,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_08_kubo_takefusa,8,MF,Takefusa,KUBO,KUBO Takefusa,KUBO,2001-06-04,Real Sociedad (ESP),173,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_09_goto_keisuke,9,FW,Keisuke,GOTO,GOTO Keisuke,GOTO,2005-06-03,Sint-Truiden VV (BEL),191,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_10_doan_ritsu,10,MF,Ritsu,DOAN,DOAN Ritsu,DOAN,1998-06-16,Eintracht Frankfurt (GER),172,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_11_maeda_daizen,11,MF,Daizen,MAEDA,MAEDA Daizen,DAIZEN,1997-10-20,Celtic FC (SCO),173,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_12_osako_keisuke,12,GK,Keisuke,OSAKO,OSAKO Keisuke,OSAKO,1999-07-28,Sanfrecce Hiroshima (JPN),188,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_13_nakamura_keito,13,MF,Keito,NAKAMURA,NAKAMURA Keito,NAKAMURA,2000-07-28,Stade Reims (FRA),180,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_14_ito_junya,14,MF,Junya,ITO,ITO Junya,ITO,1993-03-09,KRC Genk (BEL),177,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_15_kamada_daichi,15,MF,Daichi,KAMADA,KAMADA Daichi,KAMADA,1996-08-05,Crystal Palace FC (ENG),180,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_16_watanabe_tsuyoshi,16,DF,Tsuyoshi,WATANABE,WATANABE Tsuyoshi,WATANABE,1997-02-05,Feyenoord Rotterdam (NED),184,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_17_suzuki_yuito,17,MF,Yuito,SUZUKI,SUZUKI Yuito,Y. SUZUKI,2001-10-25,SC Freiburg (GER),175,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_18_ueda_ayase,18,FW,Ayase,UEDA,UEDA Ayase,AYASE,1998-08-28,Feyenoord Rotterdam (NED),182,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_19_ogawa_koki,19,FW,Koki,OGAWA,OGAWA Koki,OGAWA,1997-08-08,NEC Nijmegen (NED),186,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_20_seko_ayumu,20,DF,Ayumu,SEKO,SEKO Ayumu,SEKO,2000-06-07,Le Havre AC (FRA),186,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_21_ito_hiroki,21,DF,Hiroki,ITO,ITO Hiroki,H. ITO,1999-05-12,FC Bayern München (GER),188,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_22_tomiyasu_takehiro,22,DF,Takehiro,TOMIYASU,TOMIYASU Takehiro,TOMIYASU,1998-11-05,AFC Ajax (NED),187,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_23_hayakawa_tomoki,23,GK,Tomoki,HAYAKAWA,HAYAKAWA Tomoki,HAYAKAWA,1999-03-03,Kashima Antlers (JPN),187,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_24_sano_kaishu,24,MF,Kaishu,SANO,SANO Kaishu,SANO,2000-12-30,1. FSV Mainz 05 (GER),176,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_25_suzuki_junnosuke,25,DF,Junnosuke,SUZUKI,SUZUKI Junnosuke,J. SUZUKI,2003-07-12,FC København (DEN),180,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Japan,japan,wc2026_japan_26_shiogai_kento,26,FW,Kento,SHIOGAI,SHIOGAI Kento,SHIOGAI,2005-03-26,VfL Wolfsburg (GER),180,MORIYASU Hajime,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_01_yazeed_abulaila,1,GK,Yazeed Mo'ien Hasan,ABULAILA,YAZEED ABULAILA,YAZEED,1993-01-08,Al Hussein SC (JOR),188,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_02_mohammad_abuhasheesh,2,DF,Mohammad Ali Hasan,ABUHASHEESH,MOHAMMAD ABUHASHEESH,ABU HASHEESH,1995-05-09,Al Karma SC (IRQ),179,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_03_abdallah_nasib,3,DF,Abdallah Mousa Musallam,NASIB,ABDALLAH NASIB,NASIB,1994-02-25,Al Zawra'a SC (IRQ),184,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_04_husam_abudahab,4,DF,Husam Ali Mohammad,ABUDAHAB,HUSAM ABUDAHAB,ABU DAHAB,2000-05-13,Al Faisaly SC (JOR),186,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_05_yazan_alarab,5,DF,Yazan Mousa Mahmoud,ALARAB,YAZAN ALARAB,ALARAB,1996-01-31,FC Seoul (KOR),185,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_06_amer_jamous,6,MF,Amer Rasem Adel,JAMOUS,AMER JAMOUS,JAMOUS,2002-07-03,Al Zawra'a SC (IRQ),177,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_07_mohammad_abuzraiq,7,FW,Mohammad Faisal Yousef,ABU ZRAIQ,MOHAMMAD ABUZRAIQ,ABU ZRAIQ,1997-12-30,Raja Casablanca (MAR),170,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_08_noor_alrawabdeh,8,MF,Noor Al-Deen Mahmoud Ali,AL RAWABDEH,NOOR ALRAWABDEH,ALRAWABDEH,1997-02-24,Selangor FC (MAS),182,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_09_ali_olwan,9,FW,Ali Iyad Ali,OLWAN,ALI OLWAN,OLWAN,2000-03-26,Al Sailiya SC (QAT),182,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_10_mousa_altamari,10,FW,Mousa Mohammad Mousa,SULEIMAN,MOUSA ALTAMARI,ALTAMARI,1997-06-10,Stade Rennais FC (FRA),176,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_11_odeh_fakhoury,11,FW,Odeh Burhan Shehadeh,FAKHOURY,ODEH FAKHOURY,ODEH,2005-11-22,Pyramids FC (EGY),180,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_12_nour_baniateyah,12,GK,Noureddin Zaid Khaleel,BANI ATEYAH,NOUR BANIATEYAH,BANI ATEYAH,1993-01-25,Al Faisaly SC (JOR),179,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_13_mahmoud_almardi,13,FW,Mahmoud Nayef Ahmad,ALMARDI,MAHMOUD ALMARDI,ALMARDI,1993-10-06,Al Hussein SC (JOR),173,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_14_rajaei_ayed,14,MF,Raja'ei Ayed Fadel,HASAN,RAJAEI AYED,RAJA'EI,1993-07-25,Al Hussein SC (JOR),175,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_15_ibrahim_sadeh,15,MF,Ibrahim Mohammad Sami,SA'DEH,IBRAHIM SADEH,SA'DEH,2000-04-27,Al Karma SC (IRQ),175,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_16_mohammad_abualnadi,16,DF,Mohammad Majed Jamil,ABUALNADI,MOHAMMAD ABUALNADI,ABU ALNADI,2001-02-08,Selangor FC (MAS),185,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_17_saleem_obaid,17,DF,Saleem Amer Saleem,OBAID,SALEEM OBAID,SALEEM,1992-01-17,Al Hussein SC (JOR),187,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_18_ibrahim_sabra,18,FW,Ibrahim Mohammad Abdallah,SABRA,IBRAHIM SABRA,SABRA,2006-02-01,NK Lokomotiva Zagreb (CRO),184,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_19_saed_alrosan,19,DF,Sa'ed Ahmad Salameh,ALROSAN,SAED ALROSAN,SA'ED,1997-02-01,Al Hussein SC (JOR),186,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_20_mohannad_abutaha,20,MF,Mohannad Mahmoud Saleh,ABU TAHA,MOHANNAD ABUTAHA,ABU TAHA,2003-02-02,Al-Quwa Al-Jawiya (IRQ),173,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_21_nizar_alrashdan,21,MF,Nizar Mahmoud Ahmed,AL-RASHDAN,NIZAR ALRASHDAN,NIZAR,1999-03-23,Qatar SC (QAT),183,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_22_abdallah_alfakhori,22,GK,Abdallah Ra'ed Mahmoud,ALFAKHORI,ABDALLAH ALFAKHORI,ALFAKHORI,2000-01-22,Al Wahdat SC (JOR),190,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_23_ehsan_haddad,23,DF,Ehsan Manel Farhan,HADDAD,EHSAN HADDAD,EHSAN,1994-02-05,Al Hussein SC (JOR),174,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_24_ali_azaizeh,24,FW,Ali Ahmad Ali,AZAIZEH,ALI AZAIZEH,AZAIZEH,2004-04-13,Al Shabab FC (KSA),178,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_25_mohammad_aldaoud,25,MF,Mohammad Ratib Mohammad,ALDAOUD,MOHAMMAD ALDAOUD,ALDAOUD,1992-04-12,Al Wahdat SC (JOR),185,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Jordan,jordan,wc2026_jordan_26_anas_badawi,26,DF,Anas Said Ghazi,BADAWI,ANAS BADAWI,BADAWI,1997-09-13,Al Faisaly SC (JOR),174,SELLAMI Jamal,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_01_kim_seunggyu,1,GK,Seunggyu,KIM,KIM Seunggyu,SEUNGGYU,1990-09-30,FC Tokyo (JPN),187,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_02_lee_hanbeom,2,DF,Hanbeom,LEE,LEE Hanbeom,HANBEOM,2002-06-17,FC Midtjylland (DEN),188,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_03_lee_gihyuk,3,MF,Gihyuk,LEE,LEE Gihyuk,GIHYUK,2000-07-07,Gangwon FC (KOR),184,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_04_kim_minjae,4,DF,Minjae,KIM,KIM Minjae,MINJAE,1996-11-15,FC Bayern München (GER),190,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_05_kim_taehyeon,5,DF,Taehyeon,KIM,KIM Taehyeon,TAEHYEON,2000-09-17,Kashima Antlers (JPN),186,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_06_hwang_inbeom,6,MF,Inbeom,HWANG,HWANG Inbeom,INBEOM,1996-09-20,Feyenoord Rotterdam (NED),177,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_07_son_heungmin,7,FW,Heung Min,SON,SON Heungmin,HEUNGMIN,1992-07-08,LAFC (USA),183,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_08_paik_seungho,8,MF,Seungho,PAIK,PAIK Seungho,SEUNGHO,1997-03-17,Birmingham City FC (ENG),182,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_09_cho_guesung,9,FW,Guesung,CHO,CHO Guesung,GUESUNG,1998-01-25,FC Midtjylland (DEN),188,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_10_lee_jaesung,10,MF,Jae Sung,LEE,LEE Jaesung,JAESUNG,1992-08-10,1. FSV Mainz 05 (GER),180,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_11_hwang_heechan,11,MF,Hee Chan,HWANG,HWANG Heechan,HEECHAN,1996-01-26,Wolverhampton Wanderers FC (ENG),177,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_12_song_bumkeun,12,GK,Bumkeun,SONG,SONG Bumkeun,BUMKEUN,1997-10-15,Jeonbuk Hyundai Motors FC (KOR),196,HONG Myungbo,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Korea Republic,korea_republic,wc2026_korea_republic_13_lee_taeseok,13,DF,Taeseok,LEE,LEE Taeseok,TAESEOK,2002-07-28,FK Austria Wien (AUT),174,HONG Myungbo,True,True,True,False,False
